54372,0362225,10795
54419,0402906,33916
54426,0809407,24159
54503,0829482,8363
54513,0796368,6535
54648,0293564,5174
54732,0424823,9750
54734,0815244,10760
54736,0431197,4349
54745,0477078,13068
54768,0462244,14144
54771,0427392,4858
54775,0499556,10431
54780,0489237,12435
54785,0373883,2082
54787,0804461,11835
54881,0923752,13958
54910,0437857,10961
54995,1077258,1992
54997,0381849,5176
54999,0465602,4141
55031,0346952,14348
55052,0783233,4347
55063,1093842,13241
55069,1032846,2009
55071,0912593,12901
55078,0061648,3469
55094,0478134,6973
55100,0466839,15019
55110,0465436,4629
55116,0455782,5353
55118,0765443,2252
55156,0492499,30365
55167,0831888,13754
55207,0409799,244797
55232,0432021,7737
55245,0452625,10030
55247,0758758,5915
55250,0492956,13680
55253,0808357,4588
55259,0484562,2274
55261,0408839,9038
55267,0480242,7211
55269,0838221,4538
55272,0498399,2001
55274,0414055,4517
55276,0465538,4566
55280,0805564,6615
55282,0389722,4513
55290,0452623,4771
55294,0758798,14251
55363,0443680,4512
55417,0762110,1922
55442,0808417,2011
55444,0421082,5708
55451,0866437,5951
55498,0494834,14753
55555,0880502,2014
55566,0906108,17202
55577,0890870,663
55652,0079871,25476
55684,0821470,20605
55687,0912592,14279
55721,0861739,7347
55732,0415965,5126
55757,0079278,42173
55765,0765429,4982
55768,0389790,5559
55805,0292963,7972
55814,0401383,2013
55820,0477348,6977
55830,0799934,4953
55851,0790706,26336
55872,0426931,5123
55895,0047985,18612
55908,0756683,13363
55946,0891527,4515
55995,0442933,2310
55999,0457419,2284
56003,0405336,4723
56015,0044789,21296
56030,0988102,24060
56069,0878695,13561
56079,0780608,13168
56095,0995829,11148
56145,0884328,5876
56152,0461770,4523
56156,0465494,1620
56169,0211933,13483
56171,0385752,2268
56174,0480249,6479
56176,0952640,6477
56251,0471711,7249
56274,0757361,13998
56286,0368794,3902
56333,0775529,8272
56336,0804555,13186
56339,0464141,6537
56367,0467406,7326
56563,0847817,13348
56587,0825232,7350
56607,0419887,7979
56633,0489664,13250
56715,0477139,13198
56757,0408236,13885
56775,0465234,6637
56782,0469494,7345
56788,0472062,6538
56801,0758730,440
56805,0841046,6575
56869,0489458,40860
56885,0427309,14047
56908,0490579,14118
56915,0760329,54318
56921,0991178,69315
56941,0431308,6023
56949,0988595,6557
57038,0241663,60141
57223,0372873,10253
57243,1032856,5259
57274,1038988,8329
